consituency,consituency_no,leading_cand,leading_party,trailing_cand,trailing_party,margin,status
Mathura,84,SHRIKANT SHARMA,Bharatiya Janata Party,PRADEEP MATHUR,Indian National Congress,101161,Result Declared
Mau,356,MUKHTAR ANSHARI,Bahujan Samaj Party,ALTAF ANSARI,Samajwadi Party,19928,Counting In Progress
Mauranipur,224,BIHARILAL ARYA,Bharatiya Janata Party,DR.RASHMI ARYA,Samajwadi Party,16971,Result Declared
Meerapur,16,AVTAR SINGH BHADANA,Bharatiya Janata Party,LIYAKAT ALI,Samajwadi Party,193,Result Declared
Meerganj,119,DR. D.C. VERMA,Bharatiya Janata Party,SULTAN BEG,Bahujan Samaj Party,54500,Result Declared
Meerut,48,RAFIQ ANSARI,Samajwadi Party,DR. LAXMIKANT BAJPAI,Bharatiya Janata Party,28769,Result Declared
Meerut Cantt.,47,SATYA PRAKASH AGARWAL,Bharatiya Janata Party,SATENDRA SOLANKI,Bahujan Samaj Party,76619,Result Declared
Meerut South,49,DR. SOMENDRA TOMAR,Bharatiya Janata Party,HAJI MOHAMMAD YAQUB,Bahujan Samaj Party,35087,Counting In Progress
Mehnagar,352,KALPNATH PASWAN,Samajwadi Party,MANJOO SAROJ,Suheldev Bhartiya Samaj Party,5412,Counting In Progress
Mehnaun,295,VINAY KUMAR,Bharatiya Janata Party,ARSHAD ALI KHAN,Bahujan Samaj Party,36378,Result Declared
Mehroni,227,MANOHAR LAL,Bharatiya Janata Party,FERAN LAL,Bahujan Samaj Party,99564,Result Declared
Meja,259,NEELAM KARWARIYA,Bharatiya Janata Party,RAM SEWAK SINGH,Samajwadi Party,19843,Result Declared
MENHDAWAL,312,RAKESH SINGH BAGHEL,Bharatiya Janata Party,ANIL KUMAR TRIPATHI,Bahujan Samaj Party,42914,Result Declared
Milak (SC),38,RAJBALA,Bharatiya Janata Party,VIJAY SINGH,Samajwadi Party,16662,Counting In Progress
Milkipur,273,GORAKH NATH,Bharatiya Janata Party,AWADHESH PRASAD,Samajwadi Party,28276,Result Declared
Mirzapur,396,RATNAKAR MISHR,Bharatiya Janata Party,KAILASH CHAURASIYA,Samajwadi Party,53838,Counting In Progress
Misrikh,153,RAM KRISHNA BHARGAVA,Bharatiya Janata Party,MANISH KUMAR RAWAT,Bahujan Samaj Party,20672,Result Declared
Modi Nagar,57,DR. MANJU SHIWACH,Bharatiya Janata Party,WAHAB,Bahujan Samaj Party,66582,Counting In Progress
Mohammadabad,378,ALKA RAI,Bharatiya Janata Party,SIBGATULLA ANSARI,Bahujan Samaj Party,32703,Counting In Progress
MOHAMMDI,144,LOKENDRA PRATAP SINGH,Bharatiya Janata Party,SANJAY SHARMA,Indian National Congress,33918,Result Declared
Mohan,164,BRIJESH KUMAR,Bharatiya Janata Party,RADHE LAL RAWAT S/O MUNNU,Bahujan Samaj Party,54095,Result Declared
Mohanlalganj,176,AMBRISH SINGH PUSHKAR,Samajwadi Party,RAM BAHADUR,Bahujan Samaj Party,3499,Counting In Progress
Moradabad Nagar,28,RITESH KUMAR GUPTA,Bharatiya Janata Party,MOHAMMAD YUSUF ANSARI,Samajwadi Party,3193,Result Declared
Moradabad Rural,27,HAJI IKRAM QURESHI,Samajwadi Party,HARIOM SHARMA,Bharatiya Janata Party,28781,Result Declared
Mubarakpur,346,SHAH ALAM URF GUDDU JAMALI,Bahujan Samaj Party,AKHILESH YADAV,Samajwadi Party,733,Counting In Progress
Mughalsarai,380,SADHANA SINGH,Bharatiya Janata Party,BABULAL,Samajwadi Party,13243,Result Declared
Muhammadabad- Gohna (SC),355,SHRIRAM SONKAR,Bharatiya Janata Party,RAJENDRA KUMAR,Bahujan Samaj Party,538,Result Declared
Mungra Badshahpur,368,SUSHMA PATEL,Bahujan Samaj Party,AJAY SHANKAR DUBEY,Indian National Congress,4521,Counting In Progress
Muradnagar,54,AJIT PAL TYAGI,Bharatiya Janata Party,SUDHAN KUMAR,Bahujan Samaj Party,89612,Result Declared
Muzaffar Nagar,14,KAPIL DEV AGARWAL,Bharatiya Janata Party,GAURAV SWARUP BANSAL,Samajwadi Party,10704,Result Declared
Nagina (SC),18,MANOJ KUMAR PARAS,Samajwadi Party,OMWATI DEVI,Bharatiya Janata Party,7967,Result Declared
Najibabad,17,TASLEEM AHMAD,Samajwadi Party,RAJIV KUMAR AGARWAL,Bharatiya Janata Party,2002,Result Declared
Nakur,2,DR.DHARAM SINGH SAINI,Bharatiya Janata Party,IMRAN MASOOD,Indian National Congress,4057,Result Declared
Nanpara,283,MADHURI VERMA,Bharatiya Janata Party,WARIS ALI,Indian National Congress,18669,Counting In Progress
Naraini,234,RAJ KARAN KABIR,Bharatiya Janata Party,BHARAT LAL DIWAKAR,Indian National Congress,44972,Counting In Progress
Naugawan Sadat,40,CHETAN CHAUHAN,Bharatiya Janata Party,JAVED ABBAS,Samajwadi Party,20648,Result Declared
Nautanwa,316,AMAN MANI TRIPATHI,Independent,KUNWAR KAUSHAL KISHORE SINGH (MUNNA SINGH),Samajwadi Party,32256,Result Declared
Nawabganj,121,KESAR SINGH,Bharatiya Janata Party,BHAGWAT SARAN GANGWAR,Samajwadi Party,18070,Counting In Progress
Nehtaur (SC),21,OMKUMAR,Bharatiya Janata Party,MUNNALAL PREMI,Indian National Congress,23151,Result Declared
NIGHASAN,138,PATEL RAMKUMAR VERMA,Bharatiya Janata Party,KRISHNA GOPAL PATEL,Samajwadi Party,46123,Result Declared
Nizamabad,348,ALAMBADI,Samajwadi Party,CHANDRA DEV RAM,Bahujan Samaj Party,18529,Result Declared
Noida,61,PANKAJ SINGH,Bharatiya Janata Party,SUNIL CHOUDHARY,Samajwadi Party,104016,Result Declared
Noorpur,24,LOKENDRA SINGH,Bharatiya Janata Party,NAIM UL HASAN,Samajwadi Party,12736,Result Declared
Obra,402,SANJIV KUMAR,Bharatiya Janata Party,RAVI GOND,Samajwadi Party,44269,Result Declared
Orai,221,GAURI SHANKAR,Bharatiya Janata Party,MAHENDRA SINGH,Samajwadi Party,78879,Counting In Progress
Padrauna,330,SWAMI PRASAD MAURYA,Bharatiya Janata Party,JAVED IQBAL,Bahujan Samaj Party,40552,Counting In Progress
PALIA,137,HARVINDER KUMAR SAHANI,Bharatiya Janata Party,SAIF ALI NAQVI,Indian National Congress,69228,Result Declared
Paniyara,319,GYANENDRA,Bharatiya Janata Party,GANESH SHANKER PANDEY,Bahujan Samaj Party,67486,Counting In Progress
Pathardeva,338,SURYA PRATAP SHAHI,Bharatiya Janata Party,SHAKIR ALI,Samajwadi Party,42997,Counting In Progress
Patiyali,102,MAMTESH,Bharatiya Janata Party,KIRAN YADAV,Samajwadi Party,6606,Counting In Progress
Patti,249,RAM SINGH,Samajwadi Party,RAJENDRA PRATAP SINGH ALIAS MOTI,Bharatiya Janata Party,2376,Counting In Progress
Payagpur,287,SUBHASH TRIPATHI,Bharatiya Janata Party,MUKESH SRIVASTAVA ALIAS GYANENDERA PRATAP,Samajwadi Party,41541,Counting In Progress
Phaphamau,254,VIKRAMAJEET,Bharatiya Janata Party,ANSAR AHAMAD,Samajwadi Party,25985,Result Declared
Pharenda,315,BAJRANG BAHADUR SINGH,Bharatiya Janata Party,VIRENDRA CHAUDHARY,Indian National Congress,2354,Result Declared
Phephana,360,UPENDRA TIWARI,Bharatiya Janata Party,AMBIKA CHOUDHARY,Bahujan Samaj Party,17941,Counting In Progress
Phoolpur Pawai,349,ARUN KUMAR YADAV,Bharatiya Janata Party,ABUL QAIS AZMI,Bahujan Samaj Party,7295,Counting In Progress
Phulpur,256,PRAVEEN KUMAR SINGH,Bharatiya Janata Party,MANSOOR ALAM,Samajwadi Party,26613,Result Declared
Pilibhit,127,SANJAY SINGH GANGWAR,Bharatiya Janata Party,RIAZ AHMAD,Samajwadi Party,43356,Result Declared
Pindra,384,AVADHESH SINGH,Bharatiya Janata Party,BABULAL,Bahujan Samaj Party,36849,Counting In Progress
Pipraich,321,MAHENDRA PAL SINGH,Bharatiya Janata Party,AFATAB ALAM URF GUDDU BHAIYA,Bahujan Samaj Party,10426,Counting In Progress
Powayan (SC),134,CHETRAM,Bharatiya Janata Party,SHAKUNTLA DEVI,Samajwadi Party,72417,Result Declared
Pratapgarh,248,SANGAM LAL GUPTA,Apna Dal (Soneylal),"NAGENDRA SINGH "" MUNNA YADAV""",Samajwadi Party,34554,Result Declared
Pratappur,257,MOHD MUJTABA SIDDQUI,Bahujan Samaj Party,KARAN SINGH,Apna Dal (Soneylal),2654,Result Declared
Puranpur (SC),129,BABU RAM PASWAN,Bharatiya Janata Party,PEETAM RAM,Samajwadi Party,39242,Result Declared
Purqazi (SC),13,PRAMOD UTWAL,Bharatiya Janata Party,DEEPAK KUMAR,Indian National Congress,11253,Result Declared
Purwa,167,ANIL SINGH,Bahujan Samaj Party,UTTAM CHANDRA URF RAKESH LODHI,Bharatiya Janata Party,26483,Result Declared
Rae Bareli,180,ADITI SINGH,Indian National Congress,MHD. SHAHBAZ KHAN,Bahujan Samaj Party,89163,Result Declared
Ram Nagar,267,SHARAD KUMAR AWASTHI,Bharatiya Janata Party,ARVINDA KUMAR SINGH 'GOPE',Samajwadi Party,22727,Result Declared
Ramkola,335,RAMANAND BAUDH,Suheldev Bhartiya Samaj Party,PURNMASI DEHATI,Samajwadi Party,55729,Result Declared
Rampur,37,MOHAMMAD AZAM KHAN,Samajwadi Party,SHIV BAHADUR SAXENA,Bharatiya Janata Party,44976,Counting In Progress
Rampur Karkhana,339,KAMLESH SHUKLA,Bharatiya Janata Party,FASIHA MANZER GHAZALA LARI,Samajwadi Party,9987,Counting In Progress
Rampur Khas,244,ARADHANA MISHRA 'MONA',Indian National Congress,NAGESH PRATAP SINGH URF CHHOTE SARKAR,Bharatiya Janata Party,17066,Result Declared
Rampur Maniharan(SC),6,DEVENDER KUMAR NIM,Bharatiya Janata Party,RAVINDRA KUMAR MOLHU,Bahujan Samaj Party,595,Counting In Progress
Raniganj,250,ABHAY KUMAR ALIAS DHIRAJ OJHA,Bharatiya Janata Party,SHAKEEL AHMAD KHAN,Bahujan Samaj Party,7601,Counting In Progress
Rasara,358,UMA SHANKER SINGH,Bahujan Samaj Party,RAM IQBALL SINGH,Bharatiya Janata Party,33658,Counting In Progress
Rasulabad,205,NIRMALA SANKHWAR,Bharatiya Janata Party,ARUN KUMARI KORI,Samajwadi Party,33394,Result Declared
Rath,229,MANISHA ANURAGI,Bharatiya Janata Party,GAYADEEN ANURAGI,Indian National Congress,104643,Result Declared
Robertsganj,401,BHUPESH CHAUBEY,Bharatiya Janata Party,AVINASH KUSHVAHA,Samajwadi Party,40557,Counting In Progress
Rohaniya,387,SURENDRA NARAYAN SINGH,Bharatiya Janata Party,MAHENDRA SINGH  PATEL,Samajwadi Party,40617,Counting In Progress
Rudauli,271,RAM CHANDRA YADAV,Bharatiya Janata Party,ABBAS ALI ZAIDI URF RUSHDI MIYAN,Samajwadi Party,31259,Result Declared
Rudhauli,309,SANJAY PRATAP JAISWAL,Bharatiya Janata Party,RAJENDRA PRASAD CHAUDHARY,Bahujan Samaj Party,21805,Result Declared
Rudrapur,336,JAI PRAKASH NISHAD,Bharatiya Janata Party,AKHILESH PRATAP SINGH,Indian National Congress,26789,Result Declared
Sadabad,79,RAMVEER UPADHYAY,Bahujan Samaj Party,DR ANIL CHAUDHARY,Rashtriya Lok Dal,10006,Counting In Progress
Sadar,189,SITARAM,Bharatiya Janata Party,RAJ PRASAD UPADHAYAY,Bahujan Samaj Party,18773,Result Declared
Safipur,163,BAMBA LAL,Bharatiya Janata Party,RAM BARAN,Bahujan Samaj Party,27236,Result Declared
Sagri,345,BANDANA SINGH,Bahujan Samaj Party,JAIRAM PATEL,Samajwadi Party,5546,Counting In Progress
Sahajanwa,324,SHEETAL PANDEY,Bharatiya Janata Party,YASPAL SINGH RAWAT,Samajwadi Party,15461,Counting In Progress
Saharanpur,4,MASOOD AKHTAR,Indian National Congress,JAGPAL SINGH,Bahujan Samaj Party,12324,Counting In Progress
Saharanpur Nagar,3,SANJAY GARG,Samajwadi Party,RAJIV GUMBER,Bharatiya Janata Party,4636,Result Declared
Sahaswan,113,OMKAR SINGH,Samajwadi Party,ARSHAD ALI,Bahujan Samaj Party,4269,Result Declared
Sahibabad,55,SUNIL KUMAR SHARMA,Bharatiya Janata Party,AMARPAL,Indian National Congress,150685,Counting In Progress
Saidpur,374,SUBHASH PASSI,Samajwadi Party,VIDYASAGAR SONKAR,Bharatiya Janata Party,8710,Counting In Progress
Saiyadraja,382,SUSHIL SINGH,Bharatiya Janata Party,SHYAM NARAYAN SINGH,Bahujan Samaj Party,8530,Counting In Progress
Sakaldiha,381,PRABHUNARAYAN YADAV,Samajwadi Party,SURYAMUNI TIWARI,Bharatiya Janata Party,20211,Counting In Progress
Salempur,341,KALI PRASAD,Bharatiya Janata Party,VIJAY LAXMI GAUTAM,Samajwadi Party,25654,Counting In Progress
Salon,181,DAL BAHADUR,Bharatiya Janata Party,SURESH CHAUDHARY,Indian National Congress,16055,Result Declared
Sambhal,33,IQBAL MEHMOOD,Samajwadi Party,ZIAURREHMAN,All India Majlis-E-Ittehadul Muslimeen,18822,Result Declared
Sandi,158,PRABHASH KUMAR,Bharatiya Janata Party,OMENDRA KUMAR VERMA,Indian National Congress,20225,Result Declared
Sandila,161,RAJ KUMAR AGRAWAL URF RAJIA,Bharatiya Janata Party,ABDUL MANNAN,Samajwadi Party,20403,Counting In Progress
Sardhana,44,SANGEET SINGH SOM,Bharatiya Janata Party,ATUL PRADHAN,Samajwadi Party,23831,Counting In Progress
Sareni,182,DHIRENDRA BAHADUR SINGH,Bharatiya Janata Party,THAKUR PRASAD YADAV,Bahujan Samaj Party,13007,Result Declared
Sarojini Nagar,170,SWATI SINGH,Bharatiya Janata Party,ANURAG ALIAS ANURAG YADAV,Samajwadi Party,24056,Counting In Progress
Sawaijpur,154,KUNVAR MADHVENDRA PRATAP,Bharatiya Janata Party,PADAMRAG SINGH YADAV,Samajwadi Party,26970,Result Declared
Sevapuri,391,"NEEL RATAN SINGH PATEL ""NEELU""",Apna Dal (Soneylal),SURENDRA SINGH PATEL,Samajwadi Party,49182,Counting In Progress
Sevata,150,GYAN TIWARI,Bharatiya Janata Party,ENGINEER MOHAMMAD NASIM,Bahujan Samaj Party,43659,Result Declared
Shahabad,155,RAJANI TIWARI,Bharatiya Janata Party,ASIF KHAN,Bahujan Samaj Party,4260,Result Declared
Shahganj,365,SHAILENDRA YADAV LALAI,Samajwadi Party,RANA AJEET PRATAP SINGH,Suheldev Bhartiya Samaj Party,9162,Result Declared
Shahjahanpur,135,SURESH KUMAR KHANNA,Bharatiya Janata Party,TANVEER KHAN,Samajwadi Party,19203,Result Declared
Shamli,10,TEJENDRA NIRWAL,Bharatiya Janata Party,PANKAJ KUMAR MALIK,Indian National Congress,29720,Result Declared
Shekhupur,116,DHARMENDRA KUMAR SINGH SHAKYA,Bharatiya Janata Party,ASHISH YADAV,Samajwadi Party,23386,Result Declared
Shikarpur,69,ANIL KUMAR,Bharatiya Janata Party,MUKUL UPADHYAY,Bahujan Samaj Party,50245,Counting In Progress
Shikohabad,98,MUKESH VERMA,Bharatiya Janata Party,SANJAY KUMAR,Samajwadi Party,10777,Result Declared
Shivpur,386,ANIL RAJBHAR,Bharatiya Janata Party,"ANAND MOHAN ""GUDDU YADAV""",Samajwadi Party,54259,Result Declared
Shohratgarh,302,AMAR SINGH CHAUDHARY,Apna Dal (Soneylal),MOHD. JAMEEL,Bahujan Samaj Party,22159,Counting In Progress
